id    | role    | slots                          | source                                   | destination                              | 
1596  | rider   |                       [11, 12] | (-122.00589059297911, 37.5584043312178) | (-122.17554820106264, 37.48760582316814) | 
1597  | rider   |                   [2, 3, 4, 5] | (-122.00695376536018, 37.56106699104844) | (-122.08717986206352, 37.37972841481002) | 
1598  | rider   |                         [1, 2] | (-122.00071119455136, 37.56183429165834) | (-122.23955001763247, 37.53020301453572) | 
1599  | driver  |                        [9, 10] | (-121.97824957844513, 37.5530480515983) | (-122.14713912046706, 37.46750875435512) | 
1600  | driver  |                    [9, 10, 11] | (-121.97842779273665, 37.56113712763052) | (-122.23081021713483, 37.51978203193018) | 
1601  | rider   |                      [7, 8, 9] | (-121.95245043510903, 37.53555492218641) | (-122.10241209838883, 37.352909587191384) | 
1602  | rider   |                       [13, 14] | (-121.95668410243037, 37.52803207824463) | (-122.23933592812682, 37.47860829199182) | 
1603  | rider   |                   [10, 11, 12] | (-122.00794721320939, 37.554442399507096) | (-122.08684253992212, 37.38717020102712) | 
1604  | rider   |                           [10] | (-121.95613507175405, 37.53160249139327) | (-122.16539492677391, 37.4723526809135) | 
1605  | rider   |                           [11] | (-121.95241434235217, 37.53226344970944) | (-122.22196425606842, 37.48983990415008) | 
1606  | rider   |                   [4, 5, 6, 7] | (-122.01102821195526, 37.554878420087476) | (-122.18385283242284, 37.45427376822921) | 
1607  | rider   |                            [6] | (-121.93650915015104, 37.500652034812816) | (-122.05244992980406, 37.387223747126484) | 
1608  | rider   |          [7, 8, 9, 10, 11, 12] | (-121.93859999929686, 37.50354432744562) | (-122.1327645710417, 37.495736379104436) | 
1609  | rider   |         [8, 9, 10, 11, 12, 13] | (-122.00662175260896, 37.561079056388365) | (-122.25541145814056, 37.482230038300855) | 
1610  | rider   |                         [2, 3] | (-121.95238635070666, 37.53193961482984) | (-122.0874114462149, 37.41440010677658) | 
1611  | rider   |                        [9, 10] | (-121.97708247111721, 37.55769840358985) | (-122.08167056276123, 37.38852846302378) | 
1612  | rider   |                        [9, 10] | (-121.9375589065432, 37.50087289169776) | (-122.22615655707938, 37.45653382373218) | 
1613  | driver  |                       [12, 13] | (-121.97409972711831, 37.55788563418189) | (-122.12253335405923, 37.498612789974274) | 
1614  | driver  |                [4, 5, 6, 7, 8] | (-121.93849919880967, 37.50303343117884) | (-122.1218493249708, 37.4642943207918) | 
1615  | rider   |                       [10, 11] | (-121.95479149151222, 37.53769525192856) | (-122.17299268671651, 37.45970618354011) | 
1616  | rider   |                   [12, 13, 14] | (-121.95502195396958, 37.52770804590148) | (-122.07919474746112, 37.36551313247706) | 
1617  | rider   |                      [3, 4, 5] | (-121.95589826927863, 37.53518066861449) | (-122.05367333978228, 37.39745727640703) | 
1618  | rider   |                      [6, 7, 8] | (-121.97667182307022, 37.55806270729455) | (-122.23340302103496, 37.48837506369011) | 
1619  | driver  |                      [6, 7, 8] | (-122.01283800580534, 37.55671662745975) | (-122.07271930067989, 37.380932490714386) | 
1620  | driver  |                    [9, 10, 11] | (-122.00536601921641, 37.55701036145443) | (-122.17291555973338, 37.479722746787616) | 
1621  | rider   |                   [6, 7, 8, 9] | (-121.97901785929888, 37.55729590519792) | (-122.24244229579934, 37.47987421846669) | 
1622  | driver  |              [7, 8, 9, 10, 11] | (-121.97681981846367, 37.56393147939943) | (-122.13902243956345, 37.44912310904615) | 
1623  | rider   |                   [12, 13, 14] | (-122.01139090216215, 37.56071286358033) | (-122.14649903433693, 37.47337865392645) | 
1624  | rider   |                            [7] | (-121.93785797982575, 37.50231437845461) | (-122.17575071239946, 37.45505179241666) | 
1625  | rider   |                         [7, 8] | (-121.97799265284837, 37.55256601455569) | (-122.14299673494149, 37.45996649429602) | 
1626  | driver  |                         [6, 7] | (-122.00848018595931, 37.56091779213151) | (-122.2410308440128, 37.508037686662256) | 
1627  | rider   |                         [8, 9] | (-121.97907660971941, 37.56047824423691) | (-122.0862817747136, 37.394408200940774) | 
1628  | rider   |                         [7, 8] | (-122.00884882288007, 37.56097492638518) | (-122.15324226600386, 37.46673155968368) | 
1629  | rider   |               [6, 7, 8, 9, 10] | (-122.00503179891231, 37.56353294668413) | (-122.08561807725991, 37.38676675596129) | 
1630  | rider   |                           [10] | (-121.9727751550293, 37.562243248845526) | (-122.23356817866683, 37.48765630935294) | 
1631  | driver  |                   [10, 11, 12] | (-121.95110801786501, 37.53785192770567) | (-122.12157269132479, 37.375028413266094) | 
1632  | driver  |                           [11] | (-121.95228874779797, 37.53201607331795) | (-122.21028845085921, 37.48988702978963) | 
1633  | driver  |                       [10, 11] | (-121.95444610330074, 37.534027636690524) | (-122.14356507980635, 37.4687776548736) | 
1634  | rider   |                     [8, 9, 10] | (-121.97267335941665, 37.56329492553693) | (-122.11469404448879, 37.39479531440557) | 
1635  | rider   |                         [8, 9] | (-121.94103373869748, 37.4985607951843) | (-122.1302757200484, 37.4368893208166) | 
1636  | driver  |                      [7, 8, 9] | (-122.0044316706118, 37.55934046675783) | (-122.0694961754125, 37.40016120370712) | 
1637  | rider   |               [10, 11, 12, 13] | (-121.9518658090699, 37.52577264441561) | (-122.1688109467459, 37.46724687365609) | 
1638  | rider   |                   [4, 5, 6, 7] | (-121.97437062916802, 37.55585405802701) | (-122.15547795264462, 37.4603426840449) | 
1639  | driver  |                 [8, 9, 10, 11] | (-122.00589924012955, 37.564469762001025) | (-122.25394463369663, 37.48306519144007) | 
1640  | rider   |                        [9, 10] | (-121.95827035600698, 37.528215641748915) | (-122.14340389504851, 37.48878579128443) | 
1641  | rider   |                     [8, 9, 10] | (-121.9819662341422, 37.5536935998994) | (-122.21860431108513, 37.49153188066219) | 
1642  | driver  |         [8, 9, 10, 11, 12, 13] | (-122.00742252551261, 37.5573697900191) | (-122.07389140826724, 37.42675908241277) | 
1643  | driver  |                         [1, 2] | (-121.93612111041003, 37.49973779324628) | (-122.24443776157892, 37.4734030649177) | 
1644  | rider   |                      [3, 4, 5] | (-121.97803663730681, 37.55945410723287) | (-122.1459552772181, 37.45721290084345) | 
1645  | driver  |                         [4, 5] | (-121.95287956001275, 37.538569766369335) | (-122.1106250444882, 37.38709951561603) | 
1646  | rider   |                      [4, 5, 6] | (-121.95379267142253, 37.530552839551085) | (-122.11035912341114, 37.46931347648949) | 
1647  | rider   |               [6, 7, 8, 9, 10] | (-122.00770115227844, 37.55774812797033) | (-122.11780923501315, 37.48381487855306) | 
1648  | driver  |                         [6, 7] | (-121.93969473148597, 37.499074465581536) | (-122.1243292042094, 37.43328324966483) | 
1649  | rider   |                    [9, 10, 11] | (-121.95726385371704, 37.53356207918476) | (-122.23902158122524, 37.47659065138658) | 
1650  | rider   |                         [7, 8] | (-121.9515910376372, 37.537734405369) | (-122.20462388088932, 37.48872597873365) | 
1651  | driver  |                   [6, 7, 8, 9] | (-121.9405595071785, 37.50264065324604) | (-122.07924160126812, 37.39648148462168) | 
1652  | rider   |            [5, 6, 7, 8, 9, 10] | (-121.9532666782912, 37.53824697436377) | (-122.11244697066476, 37.402641491230135) | 
1653  | rider   |                 [8, 9, 10, 11] | (-121.93754658997877, 37.50190410018211) | (-122.23580397259421, 37.47174753064549) | 
1654  | rider   |           [10, 11, 12, 13, 14] | (-121.94239712302634, 37.49969128928997) | (-122.11155482047738, 37.36167242641664) | 
1655  | rider   |                         [7, 8] | (-121.94328827656996, 37.498861997750694) | (-122.16027764091125, 37.477759588883615) | 
1656  | driver  |                            [9] | (-122.00593987852618, 37.551398792063004) | (-122.1125470708939, 37.39547470162576) | 
1657  | driver  |                            [2] | (-121.97760313882148, 37.56044791539275) | (-122.09534893292462, 37.39833737468739) | 
1658  | driver  |                   [5, 6, 7, 8] | (-121.9784328039886, 37.555025746895) | (-122.11677828774475, 37.47122668548085) | 
1659  | driver  |                   [6, 7, 8, 9] | (-121.97870191482491, 37.55749767284743) | (-122.1192029903973, 37.45851566596357) | 
1660  | rider   |                   [11, 12, 13] | (-121.94615725510597, 37.50155298258369) | (-122.1536147966728, 37.47703555503712) | 
1661  | rider   |                 [8, 9, 10, 11] | (-121.95357250242351, 37.53306671502579) | (-122.21767012511279, 37.494086489233894) | 
1662  | driver  |                         [4, 5] | (-121.94969377795726, 37.53700159317025) | (-122.15490793022565, 37.45310152519057) | 
1663  | rider   |                         [2, 3] | (-121.95518801933896, 37.53041678206775) | (-122.23786502463287, 37.4755425997918) | 
1664  | rider   |                       [11, 12] | (-121.98155392907009, 37.55848416888511) | (-122.16914239806447, 37.46434801942131) | 
1665  | rider   |                [3, 4, 5, 6, 7] | (-122.00573327298582, 37.55842788310897) | (-122.24401506043786, 37.494744133073496) | 
1666  | driver  |                        [9, 10] | (-121.97881470731612, 37.56009976857571) | (-122.15389019773998, 37.43851816576304) | 
1667  | driver  |                            [7] | (-121.95966746528418, 37.53070234818081) | (-122.07345768695983, 37.38909724231947) | 
1668  | rider   |                      [6, 7, 8] | (-121.93946362695169, 37.497816368909824) | (-122.1582200706264, 37.47923815589865) | 
1669  | driver  |                      [7, 8, 9] | (-121.94035437951452, 37.50301490443806) | (-122.10835402355212, 37.40346017474106) | 
1670  | rider   |                 [8, 9, 10, 11] | (-121.97705574984553, 37.557507310161654) | (-122.1132111726712, 37.361397042775444) | 
1671  | driver  |      [7, 8, 9, 10, 11, 12, 13] | (-121.95064837845499, 37.52923568980438) | (-122.22343052104388, 37.484451370546495) | 
1672  | rider   |                       [11, 12] | (-121.97381083761859, 37.558834042630515) | (-122.09569273127008, 37.37666486627853) | 
1673  | driver  |                        [9, 10] | (-121.95294158752503, 37.53073314913054) | (-122.0969650041725, 37.40411973717885) | 
1674  | driver  |                  [7, 8, 9, 10] | (-121.94460197995343, 37.50663202518091) | (-122.16661027555074, 37.48698401377967) | 
1675  | rider   |             [4, 5, 6, 7, 8, 9] | (-121.95393018687223, 37.52973041691613) | (-122.11232698335213, 37.372910681495235) | 
1676  | rider   |                   [3, 4, 5, 6] | (-122.00888195921972, 37.559843727422106) | (-122.2015157592438, 37.48521944200583) | 
1677  | rider   |               [11, 12, 13, 14] | (-122.0067229041082, 37.55771912584091) | (-122.26581523865265, 37.47525841989562) | 
1678  | rider   |                    [9, 10, 11] | (-121.93334955648555, 37.50486484132018) | (-122.14239202574957, 37.469566710814895) | 
1679  | rider   |                           [10] | (-121.93499620401218, 37.50171631617917) | (-122.07683205128541, 37.39322269948614) | 
1680  | driver  |                         [6, 7] | (-121.97171051019683, 37.55726993885074) | (-122.129521137262, 37.47787268533227) | 
1681  | rider   |                         [4, 5] | (-121.9415543440897, 37.50357660386323) | (-122.08339334631354, 37.38791549589946) | 
1682  | rider   |                [9, 10, 11, 12] | (-121.97664260715973, 37.5586223886988) | (-122.08398209019575, 37.393719753934846) | 
1683  | driver  |                   [6, 7, 8, 9] | (-122.00814196649915, 37.559695581601005) | (-122.12491387598666, 37.39657150791488) | 
1684  | rider   |                     [8, 9, 10] | (-122.00865836746324, 37.553505634334236) | (-122.12560641863908, 37.4969839690767) | 
1685  | rider   |                         [6, 7] | (-122.00401136497304, 37.560446275748305) | (-122.07710815810057, 37.42027554820306) | 
1686  | rider   |              [7, 8, 9, 10, 11] | (-121.93867955212929, 37.50161141130587) | (-122.102088924267, 37.406211378584) | 
1687  | driver  |                        [9, 10] | (-121.9382611727023, 37.50600428553418) | (-122.0640268018309, 37.40211696030398) | 
1688  | rider   |        [9, 10, 11, 12, 13, 14] | (-121.93944907700782, 37.501821448310274) | (-122.12491929275106, 37.501642092636644) | 
1689  | rider   |          [7, 8, 9, 10, 11, 12] | (-121.95266749397953, 37.53515007677503) | (-122.14364479007743, 37.468973043109635) | 
1690  | rider   |    [5, 6, 7, 8, 9, 10, 11, 12] | (-122.00832427882196, 37.559649955890016) | (-122.148025753139, 37.47464525858013) | 
1691  | rider   |                   [2, 3, 4, 5] | (-121.97683633507003, 37.55579124881099) | (-122.05338605370105, 37.38870609510567) | 
1692  | rider   |                   [10, 11, 12] | (-122.00961490317927, 37.55839322689177) | (-122.22268351827503, 37.482015220362285) | 
1693  | driver  |                   [10, 11, 12] | (-121.9335197231549, 37.50086892574393) | (-122.22921501168221, 37.46723735883273) | 
1694  | rider   |                       [10, 11] | (-121.9388835764227, 37.4976729214278) | (-122.1322058811383, 37.494747579931044) | 
1695  | driver  |                     [8, 9, 10] | (-122.0034604381101, 37.5540295203002) | (-122.24561662699976, 37.48931927097122) | 
1696  | rider   |                   [5, 6, 7, 8] | (-121.9791684022204, 37.559588223169996) | (-122.23107146567531, 37.49295355137417) | 
1697  | driver  |                      [6, 7, 8] | (-121.95806065919878, 37.53537022517473) | (-122.26157823264481, 37.491430855788835) | 
1698  | rider   |                   [6, 7, 8, 9] | (-121.94033659518009, 37.49986575761732) | (-122.1530254367531, 37.46181538975449) | 
1699  | driver  |                            [9] | (-122.00595639089462, 37.554100548560584) | (-122.23358373676011, 37.50743180172313) | 
1700  | rider   |                 [8, 9, 10, 11] | (-121.94920609925596, 37.534880383957805) | (-122.08078626113371, 37.38972687531038) | 
1701  | rider   |                     [8, 9, 10] | (-121.97610063203348, 37.557790301119475) | (-122.24846358124023, 37.44700202158493) | 
1702  | rider   |                  [7, 8, 9, 10] | (-122.0042499617927, 37.56255755729187) | (-122.15256391467506, 37.45804186714823) | 
1703  | rider   |                   [3, 4, 5, 6] | (-121.97605511176319, 37.56044461520619) | (-122.11424378534767, 37.400954799869325) | 
1704  | rider   |                    [9, 10, 11] | (-121.9747690530909, 37.55794396105836) | (-122.11866718846146, 37.48177268711425) | 
1705  | rider   |                     [8, 9, 10] | (-121.95254325235175, 37.53279057108898) | (-122.17479541063791, 37.49324741879301) | 
1706  | rider   |          [3, 4, 5, 6, 7, 8, 9] | (-121.97163212948082, 37.55620992898885) | (-122.17090083681991, 37.45166074003274) | 
1707  | rider   |                         [8, 9] | (-121.93800193231847, 37.50183501785947) | (-122.08422722009908, 37.39017786470934) | 
1708  | rider   |                   [10, 11, 12] | (-121.97244751916433, 37.55836720341215) | (-122.1117585247545, 37.38637172479175) | 
1709  | driver  |                       [11, 12] | (-121.9730025427348, 37.55209143596257) | (-122.05455455658306, 37.4047031754383) | 
1710  | rider   |                         [8, 9] | (-121.94026425691108, 37.501534757739165) | (-122.08450285999281, 37.38420080771324) | 
1711  | rider   |                     [8, 9, 10] | (-121.93701185832184, 37.496117516614035) | (-122.22896357006546, 37.52200831880721) | 
1712  | driver  |                      [4, 5, 6] | (-121.9367450988022, 37.501667506818265) | (-122.07386246294108, 37.35196522100279) | 
1713  | driver  |                      [7, 8, 9] | (-121.98174532012436, 37.555705128709526) | (-122.23284341086556, 37.51197817657785) | 
1714  | rider   |                   [5, 6, 7, 8] | (-122.00770737612564, 37.557776493465774) | (-122.10157613024332, 37.36875922175439) | 
1715  | rider   |                   [4, 5, 6, 7] | (-121.95495517111651, 37.535407617658585) | (-122.12676130259422, 37.460776059039205) | 
1716  | driver  |                            [4] | (-122.00802374684258, 37.558204643419685) | (-122.12827653628197, 37.38699827973638) | 
1717  | driver  |                         [2, 3] | (-121.97797263325249, 37.55842033773373) | (-122.14335278305333, 37.45401268486525) | 
1718  | rider   |                           [10] | (-121.94062304750146, 37.500955793893816) | (-122.10322628198817, 37.39203628618153) | 
1719  | rider   |                            [9] | (-121.98253437911214, 37.56213932449493) | (-122.24753462762533, 37.456424641227855) | 
1720  | driver  |                         [4, 5] | (-122.01139847448576, 37.55598744215713) | (-122.05245341432523, 37.41673695053442) | 
1721  | driver  |                            [9] | (-121.94818243385731, 37.528160952685404) | (-122.0964100421938, 37.38148882524576) | 
1722  | driver  |                 [8, 9, 10, 11] | (-121.95727037596338, 37.52728573495276) | (-122.06135513230457, 37.414600157627724) | 
1723  | driver  |                      [6, 7, 8] | (-121.9499678479227, 37.53052457291706) | (-122.23416711821287, 37.48314803755688) | 
1724  | rider   |                [9, 10, 11, 12] | (-121.94196528538322, 37.501325677076316) | (-122.13801137667203, 37.466955077315546) | 
1725  | driver  |                   [6, 7, 8, 9] | (-121.95379294593063, 37.53812413481133) | (-122.12019383524071, 37.4842388656188) | 
1726  | driver  |                         [8, 9] | (-122.00801336137717, 37.56331589617085) | (-122.1419703503298, 37.47218703896763) | 
1727  | driver  |                      [4, 5, 6] | (-121.98059414575087, 37.55531363378273) | (-122.08758415483862, 37.385442215132564) | 
1728  | rider   |                      [6, 7, 8] | (-122.00511427098347, 37.56073439177543) | (-122.07715934332711, 37.385838156060636) | 
1729  | driver  |                         [8, 9] | (-121.95582087788569, 37.53281506552216) | (-122.07981781051807, 37.357689246542485) | 
1730  | rider   |                      [3, 4, 5] | (-121.94731516771647, 37.535711570912156) | (-122.0757916604528, 37.381691026169726) | 
1731  | rider   |                        [9, 10] | (-121.93626746276813, 37.50032960373328) | (-122.12342852628893, 37.43348335969803) | 
1732  | rider   |                      [2, 3, 4] | (-121.95663318835882, 37.53248948291465) | (-122.12108339379093, 37.38307547124813) | 
1733  | driver  |                         [6, 7] | (-122.0062492055011, 37.55392254798753) | (-122.16953708142108, 37.4820054969909) | 
1734  | rider   |                         [6, 7] | (-122.00864848467064, 37.562087805804644) | (-122.24493347958801, 37.49774773224415) | 
1735  | rider   |                         [7, 8] | (-121.95312715140759, 37.532987819440564) | (-122.0648137430224, 37.37786595662263) | 
1736  | driver  |                         [5, 6] | (-121.97161199761092, 37.558727682974926) | (-122.06383832213699, 37.390785696863034) | 
1737  | rider   |                     [8, 9, 10] | (-122.00426965212331, 37.56029917416772) | (-122.23826460578348, 37.513844672568815) | 
1738  | rider   |                      [3, 4, 5] | (-121.9425176030633, 37.49938378619441) | (-122.11423283807206, 37.38657804142546) | 
1739  | rider   |                         [6, 7] | (-121.95142815986371, 37.52763830330378) | (-122.12693023441635, 37.37640864154049) | 
1740  | rider   |                        [9, 10] | (-121.95305771261869, 37.53277168822893) | (-122.15376604982858, 37.455027525639025) | 
1741  | driver  |                 [8, 9, 10, 11] | (-121.9732318890107, 37.55781240058097) | (-122.257382900112, 37.451168740979114) | 
1742  | rider   |                      [5, 6, 7] | (-122.0054651794006, 37.55276178499907) | (-122.1385057734803, 37.45438787829941) | 
1743  | driver  |                         [4, 5] | (-121.94546862044842, 37.49932927313236) | (-122.05176013388252, 37.408940114612086) | 
1744  | driver  |                      [7, 8, 9] | (-121.95470322544794, 37.53136409537309) | (-122.26773729415282, 37.480333636144266) | 
1745  | driver  |                [2, 3, 4, 5, 6] | (-121.97319993403926, 37.55406947998123) | (-122.22106199767077, 37.48574330454466) | 
1746  | driver  |                      [2, 3, 4] | (-122.00885074706723, 37.55806719864481) | (-122.15687829813835, 37.44886448410728) | 
1747  | rider   |                         [4, 5] | (-121.94381966381965, 37.502732159304244) | (-122.08508997775795, 37.38592876017792) | 
1748  | rider   |                   [3, 4, 5, 6] | (-122.01226942785449, 37.556398605813094) | (-122.14530490295185, 37.42774680185717) | 
1749  | rider   |                           [14] | (-121.95207305853437, 37.53464291163921) | (-122.16202744688295, 37.458777825751035) | 
1750  | rider   |                   [4, 5, 6, 7] | (-122.00112920990416, 37.55545795324495) | (-122.09822511935404, 37.401822248954964) | 
1751  | driver  |                         [2, 3] | (-121.94643465812707, 37.53369202046612) | (-122.06568787437098, 37.366152433569695) | 
1752  | driver  |                            [8] | (-121.98155391680417, 37.5583555654537) | (-122.10074304848935, 37.39469932946914) | 
1753  | driver  |                     [8, 9, 10] | (-121.93986536705437, 37.49911405093617) | (-122.2396993121411, 37.49611286164045) | 
1754  | rider   |                   [4, 5, 6, 7] | (-122.0116185848619, 37.56308010733449) | (-122.2320806506359, 37.50547359933425) | 
1755  | driver  |                      [7, 8, 9] | (-121.97357916325338, 37.55602600773577) | (-122.14475183745878, 37.46934099504573) | 
1756  | driver  |                      [5, 6, 7] | (-121.93919757702106, 37.5008888385843) | (-122.06535638405097, 37.41905919128866) | 
1757  | rider   |                     [8, 9, 10] | (-122.00174120975417, 37.557686421655774) | (-122.12087976182616, 37.451874866721795) | 
1758  | driver  |                      [5, 6, 7] | (-122.0017453172528, 37.55452124808281) | (-122.0844581187463, 37.389651012845114) | 
1759  | rider   |                           [10] | (-121.98386425924595, 37.55908686291241) | (-122.1429710328875, 37.47126350897338) | 
1760  | rider   |                [9, 10, 11, 12] | (-121.97350630622017, 37.55881128029513) | (-122.23697592989537, 37.47585853933569) | 
1761  | driver  |                         [5, 6] | (-121.97727767356157, 37.55927578575314) | (-122.0620297352189, 37.40228016798728) | 
1762  | rider   |                         [6, 7] | (-121.95050458759036, 37.53262592992474) | (-122.13799602466709, 37.46265835350349) | 
1763  | rider   |               [11, 12, 13, 14] | (-121.93847729743116, 37.503392869290515) | (-122.08344645059115, 37.38920147891881) | 
1764  | rider   |                 [8, 9, 10, 11] | (-121.94039164493573, 37.50129135925849) | (-122.08200603357491, 37.390457049993486) | 
1765  | driver  |                            [6] | (-121.93892583485867, 37.5028170908188) | (-122.11898395504038, 37.475431672803225) | 
1766  | rider   |                    [9, 10, 11] | (-121.94086428284743, 37.50703858225822) | (-122.115449661882, 37.45683275195836) | 
1767  | rider   |                   [1, 2, 3, 4] | (-121.97392730326136, 37.558074599129114) | (-122.06950058400383, 37.379239705160856) | 
1768  | driver  |                     [8, 9, 10] | (-121.93930288810057, 37.50436256544247) | (-122.27956984014953, 37.49302817207945) | 
1769  | driver  |                            [4] | (-122.00492967997766, 37.561265400523716) | (-122.25407848064188, 37.524323554248056) | 
1770  | rider   |                         [5, 6] | (-122.0064677970769, 37.557979882068764) | (-122.23042125702437, 37.48520251034834) | 
1771  | rider   |                 [8, 9, 10, 11] | (-122.00756657271317, 37.560526251653606) | (-122.07379588998064, 37.3800733485346) | 
1772  | rider   |                           [10] | (-122.00555539789246, 37.55961149690145) | (-122.23665095575245, 37.48662342438728) | 
1773  | driver  |                   [11, 12, 13] | (-121.95138810858063, 37.53037329686256) | (-122.1435216654021, 37.44757446687166) | 
1774  | rider   |                           [11] | (-121.97710827670429, 37.557714395719884) | (-122.14485159080765, 37.46767024505927) | 
1775  | driver  |                         [5, 6] | (-122.00959973514409, 37.554232089734704) | (-122.21070810802178, 37.47316499366672) | 
1776  | rider   |                      [7, 8, 9] | (-121.93871034924891, 37.500415895223554) | (-122.14633835692105, 37.48568777567487) | 
1777  | rider   |                   [4, 5, 6, 7] | (-121.944443574804, 37.50034758346027) | (-122.04506608746509, 37.403377975372166) | 
1778  | driver  |                   [4, 5, 6, 7] | (-121.95275598442255, 37.529131169155356) | (-122.12716732651502, 37.48065367709644) | 
1779  | rider   |                         [8, 9] | (-121.9408631732274, 37.50179847596942) | (-122.06668339243421, 37.39900704287358) | 
1780  | driver  |        [5, 6, 7, 8, 9, 10, 11] | (-121.93817477554569, 37.50176629599537) | (-122.14341608572138, 37.45993516256709) | 
1781  | rider   |                  [7, 8, 9, 10] | (-121.93770716847311, 37.50182264525958) | (-122.19851336347533, 37.480537774073056) | 
1782  | rider   |                        [9, 10] | (-121.95285410336894, 37.53136396370924) | (-122.16838411638783, 37.497746624793) | 
1783  | rider   |              [7, 8, 9, 10, 11] | (-121.9422109239245, 37.505039516128264) | (-122.17987158053715, 37.46496262237461) | 
1784  | driver  |                         [8, 9] | (-122.00817472243706, 37.56033321376469) | (-122.24830805060579, 37.519239862250316) | 
1785  | rider   |                      [5, 6, 7] | (-122.00067428856563, 37.55498076102844) | (-122.12577501361254, 37.49004705251984) | 
1786  | rider   |                      [6, 7, 8] | (-122.00801085127462, 37.55907494651262) | (-122.10003778446126, 37.39136545750596) | 
1787  | driver  |                   [4, 5, 6, 7] | (-121.9836170062138, 37.55879978946017) | (-122.1176932957877, 37.44533433495312) | 
1788  | rider   |                [5, 6, 7, 8, 9] | (-121.97708890382279, 37.559056125791365) | (-122.14410093565581, 37.468260145113675) | 
1789  | rider   |                     [8, 9, 10] | (-122.00705512250018, 37.559823637218855) | (-122.21844480262587, 37.48322524702052) | 
1790  | rider   |                      [4, 5, 6] | (-121.97807456277401, 37.55441928218857) | (-122.2785470969849, 37.495690935333336) | 
1791  | rider   |                            [7] | (-121.93698769476143, 37.50788609539779) | (-122.11800130983349, 37.37332793299791) | 
1792  | driver  |                      [2, 3, 4] | (-121.95255281609548, 37.530854587110085) | (-122.26166324211613, 37.48020410860767) | 
1793  | rider   |                           [10] | (-121.98114919105984, 37.56214061136624) | (-122.2331570409471, 37.46252895431659) | 
1794  | driver  |                         [8, 9] | (-121.97507860141755, 37.55238764952971) | (-122.22794395205449, 37.48624660618605) | 
1795  | rider   |                      [5, 6, 7] | (-121.97666198656334, 37.55977424587608) | (-122.07308179149503, 37.3711541681771) | 
1796  | rider   |                [4, 5, 6, 7, 8] | (-121.97201409819344, 37.556673193085494) | (-122.11450796948779, 37.441752784026065) | 
1797  | driver  |                         [5, 6] | (-121.94863236983794, 37.53301622090082) | (-122.08423736172273, 37.38618445557591) | 
1798  | rider   |                       [11, 12] | (-121.93979070165301, 37.49571627009429) | (-122.2313030488237, 37.47098005013438) | 
1799  | rider   |                   [10, 11, 12] | (-122.0086070493476, 37.563300184953704) | (-122.2432896266257, 37.50057033798821) | 
1800  | driver  |                        [9, 10] | (-122.00247334749207, 37.559382504571005) | (-122.12770041491719, 37.47597215488756) | 
1801  | driver  |                       [10, 11] | (-121.97713078515518, 37.55768347364616) | (-122.13430453293802, 37.48405592422813) | 
1802  | rider   |         [4, 5, 6, 7, 8, 9, 10] | (-121.94826948429491, 37.536811640323876) | (-122.1414255348468, 37.49422336925006) | 
1803  | driver  |             [8, 9, 10, 11, 12] | (-121.94986751537381, 37.52666753235667) | (-122.07789378933039, 37.3891520867525) | 
1804  | rider   |                         [5, 6] | (-121.93675127052897, 37.49707403092986) | (-122.24525958651287, 37.49328313221222) | 
1805  | rider   |               [11, 12, 13, 14] | (-121.97479182080214, 37.55843376017121) | (-122.22125230350174, 37.46301829065437) | 
1806  | driver  |                   [11, 12, 13] | (-121.93606008014616, 37.50487640233926) | (-122.22775866765181, 37.49920333526128) | 
1807  | driver  |                   [3, 4, 5, 6] | (-121.95630762104852, 37.53330104898065) | (-122.16724303788862, 37.46675147168202) | 
1808  | driver  |                   [6, 7, 8, 9] | (-121.9789613802503, 37.55107682918275) | (-122.06162079584732, 37.391091972812184) | 
1809  | driver  |          [7, 8, 9, 10, 11, 12] | (-122.00687353350779, 37.558106676737566) | (-122.09885480518588, 37.394757117061786) | 
1810  | rider   |                [9, 10, 11, 12] | (-121.93679107460929, 37.49885159699236) | (-122.08296260325247, 37.41428907961003) | 
1811  | driver  |                  [7, 8, 9, 10] | (-121.95272195585923, 37.532175817453236) | (-122.14856831110909, 37.46562231200709) | 
1812  | rider   |                            [6] | (-121.97636699853612, 37.55859667105587) | (-122.15413340964275, 37.50414272228176) | 
1813  | rider   |                      [7, 8, 9] | (-122.00692668464251, 37.55658582402112) | (-122.23963519491821, 37.48932744167864) | 
1814  | driver  |            [5, 6, 7, 8, 9, 10] | (-121.97609147298834, 37.55833296420784) | (-122.15738019676544, 37.43423546450486) | 
1815  | driver  |                         [7, 8] | (-121.93919328474031, 37.499593634694406) | (-122.08952115463428, 37.365024678258074) | 
1816  | rider   |                       [10, 11] | (-121.95372558048624, 37.53337156453073) | (-122.27321211724532, 37.494153483696024) | 
1817  | rider   |                            [9] | (-121.9522313165607, 37.53311165384507) | (-122.2447441414807, 37.48808579386353) | 
1818  | rider   |                       [12, 13] | (-121.97920170506329, 37.5568774257425) | (-122.1768007820952, 37.48504859056836) | 
1819  | rider   |                         [6, 7] | (-121.95574569368841, 37.528827725544524) | (-122.16686063089547, 37.48269360150021) | 
1820  | driver  |                      [6, 7, 8] | (-121.95705422955855, 37.530515577299845) | (-122.18043171127246, 37.45378895335864) | 
1821  | driver  |                    [9, 10, 11] | (-121.98267193633406, 37.55994935672249) | (-122.23218847269185, 37.51819664486413) | 
